name,year,mean,variance,population
Afghanistan,1970,7.211355,0.4842485,12430.62
Afghanistan,1971,7.224139,0.4769112,12749.38
Afghanistan,1972,7.422678,0.4651692,13079.46
Afghanistan,1973,7.425847,0.4599604,13421.3
Afghanistan,1974,7.440509,0.4591048,13772.08
Afghanistan,1975,7.493523,0.4573353,14132.02
Afghanistan,1976,7.499537,0.4554389,14501.37
Afghanistan,1977,7.431645,0.4541955,14880.37
Afghanistan,1978,7.478371,0.4406278,15269.28
Afghanistan,1979,7.445274,0.4253835,15555.61
Afghanistan,1980,7.451481,0.4141626,14985.18
Afghanistan,1981,7.536521,0.4050815,14086.71
Afghanistan,1982,7.598536,0.3873052,13644.87
Afghanistan,1983,7.648149,0.373853,13708.61
Afghanistan,1984,7.65715,0.3764277,13826.05
Afghanistan,1985,7.669069,0.3471784,13898.19
Afghanistan,1986,7.693876,0.3503893,13936.41
Afghanistan,1987,7.577866,0.3468743,14071.43
Afghanistan,1988,7.476827,0.3403538,14325.97
Afghanistan,1989,7.376033,0.3529222,14635.5
Afghanistan,1990,7.285449,0.3693173,14749.93
Afghanistan,1991,7.333496,0.3649655,14939.08
Afghanistan,1992,7.07795,0.3990614,16589.22
Afghanistan,1993,6.821075,0.4300147,18840.24
Afghanistan,1994,6.706,0.4472651,20318.67
Afghanistan,1995,6.574831,0.500885,21489.21
Afghanistan,1996,6.58171,0.5278262,22429.23
Afghanistan,1997,6.677955,0.5170752,23234.09
Afghanistan,1998,6.70516,0.4973949,24064.98
Afghanistan,1999,6.541108,0.4788955,24960.73
Afghanistan,2000,5.934855,0.4699491,25888.8
Afghanistan,2001,5.797958,0.4761518,26813.06
Afghanistan,2002,6.015084,0.4995522,27755.78
Afghanistan,2003,6.124033,0.5058405,28717.21
Afghanistan,2004,6.107101,0.5164868,30133.42
Afghanistan,2005,6.15487,0.5187072,31299.15
Afghanistan,2006,6.249417,0.5187072,32533.38
Albania,1970,,,
Albania,1971,,,
Albania,1972,,,
Albania,1973,,,
Albania,1974,,,
Albania,1975,,,
Albania,1976,,,
Albania,1977,,,
Albania,1978,,,
Albania,1979,,,
Albania,1980,8.224154,0.2832564,2639.87
Albania,1981,8.260115,0.2832564,2692.946
Albania,1982,8.270085,0.2832564,2744.844
Albania,1983,8.261801,0.2832564,2798.26
Albania,1984,8.228467,0.2832564,2856.898
Albania,1985,8.223381,0.2832564,2922.597
Albania,1986,8.252773,0.2832564,2997.925
Albania,1987,8.217896,0.2832564,3079.874
Albania,1988,8.178543,0.2832564,3158.003
Albania,1989,8.253494,0.2832564,3218.165
Albania,1990,8.142755,0.2832564,3250.778
Albania,1991,7.500168,0.2832564,3294.227
Albania,1992,7.098027,0.2832564,3326.498
Albania,1993,7.386321,0.2832564,3351.656
Albania,1994,7.622762,0.2832564,3378.424
Albania,1995,7.777606,0.2832564,3400.516
Albania,1996,7.744425,0.2832564,3414.733
Albania,1997,7.648061,0.2733895,3428.038
Albania,1998,7.756178,0.2668866,3441.234
Albania,1999,7.957252,0.2629854,3457.493
Albania,2000,8.111418,0.2609946,3473.835
